TransactionAmount,TransactionType,Location,Channel,CustomerOccupation,CustomerAge,LoginAttempts,AccountBalance,TransactionDuration,Balance_to_Transaction_Ratio,Transaction_Intensity,Cluster_KMeans
287.2415267843084,Payment,Medan,Branch,Entrepreneur,27,2,6070.509036551257,5.120447992723905,21.06049431626078,574.4830535686168,2
179.33576762587052,Transfer,Medan,Branch,Student,59,2,6747.914558533481,15.888113343666138,37.41861443999777,358.67153525174103,1
165.87403012451443,Transfer,Medan,ATM,Student,35,4,4722.539153877772,18.013769426013628,28.300024577545173,663.4961204980577,2
165.87627531981607,Transfer,Surabaya,Branch,Employee,43,1,2924.9466850586996,13.473153810558697,17.527636444743745,165.87627531981607,1
557.9657294676781,OnlinePurchase,Medan,Branch,Employee,37,2,6766.681613915099,26.267084754404586,12.105718217034948,1115.9314589353562,0
344.0047477157067,OnlinePurchase,Bali,MobileBanking,Employee,58,2,3013.071175806507,15.452020473381726,8.733419455112426,688.0094954314134,1
135.72936020890788,Payment,Medan,MobileBanking,Student,53,1,954.372083398815,5.459271069369675,6.980008404490713,135.72936020890788,1
296.3777368117456,OnlinePurchase,Bandung,MobileBanking,Student,38,2,6131.246042818984,2.1970307073205104,20.61770362688703,592.7554736234912,2
239.87523168775763,Transfer,Medan,ATM,Freelancer,19,3,3488.7736865962634,32.84557843892342,14.483737751495761,719.6256950632729,2
25.90979321887025,Transfer,Bali,Branch,Entrepreneur,63,1,4331.476996706555,31.376161198236733,160.96284952755215,25.90979321887025,3
80.54907392252476,OnlinePurchase,Medan,ATM,Employee,50,1,6387.978124436006,21.511305504536967,78.3329327627297,80.54907392252476,3
252.73987648177962,Payment,Jakarta,ATM,Entrepreneur,40,5,3139.24196705744,140.68964573426808,12.3718904989806,1263.6993824088981,0
523.8212240980234,Transfer,Bali,Branch,Entrepreneur,56,1,1795.5861903275231,28.925795849756533,3.421329221990749,523.8212240980234,1
167.02226219509754,OnlinePurchase,Surabaya,InternetBanking,Freelancer,48,3,7438.847284363808,117.15079104454648,44.2729861339818,501.0667865852926,3
126.96329268651644,Withdrawal,Medan,InternetBanking,Student,21,1,4883.382881070268,21.150074890070172,38.16237280665749,126.96329268651644,2
217.6809049766599,Payment,Bandung,Branch,Entrepreneur,58,1,7514.689085546567,25.311343882581195,34.36371861708099,217.6809049766599,1
120.63413768617171,Payment,Medan,InternetBanking,Employee,20,1,6252.265802492232,40.44961720487434,51.402229024089486,120.63413768617171,2
158.1289657367026,Payment,Bandung,MobileBanking,Employee,54,0,6311.293920568,7.997381928384607,39.661502802769235,0.0,1
197.91629747283176,Withdrawal,Jakarta,Branch,Student,27,4,5326.870022970979,0.7190939077083142,26.77945492977281,791.665189891327,2
76.81647658126603,Transfer,Surabaya,ATM,Student,59,2,5325.213339576027,23.449211719815864,68.43297940911974,153.63295316253206,1
356.4072113055767,Payment,Bali,MobileBanking,Student,49,0,7269.021534421023,26.398764768685336,20.33820612591429,0.0,1
64.22177355348481,OnlinePurchase,Bali,ATM,Employee,53,3,6628.943956974785,34.65221010083775,101.63697789571377,192.66532066045443,3
56.735213260160805,Payment,Surabaya,InternetBanking,Student,44,2,3821.954121308883,18.603454081516006,66.19797356747891,113.47042652032161,1
232.07405014657618,OnlinePurchase,Jakarta,Branch,Freelancer,36,1,5986.001661534541,40.57657373656176,25.682831948773575,232.07405014657618,2
337.6024569574861,Payment,Jakarta,MobileBanking,Freelancer,55,0,3761.3131546125232,39.015007293319606,11.108345723211283,0.0,1
227.74026892284846,OnlinePurchase,Medan,Branch,Employee,18,2,4374.787902265631,15.573753154062066,19.125569462984227,455.4805378456969,2
182.6135012501521,OnlinePurchase,Jakarta,MobileBanking,Freelancer,43,0,6136.765755281565,25.080223176594973,33.42219234151487,0.0,1
156.88577219801692,OnlinePurchase,Medan,MobileBanking,Entrepreneur,63,2,3731.124063694044,49.710061578909986,23.63179412401105,313.77154439603385,1
136.78917968239804,Withdrawal,Bandung,MobileBanking,Student,30,1,5295.225841051714,6.3972774290077705,38.42991048540335,136.78917968239804,2
412.5359160623339,Withdrawal,Surabaya,Branch,Freelancer,52,3,5760.205022447604,18.21792968942797,13.929152943463672,1237.6077481870018,0
